"data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year"
"2024-01-07,202402,185.0,180,198.0,180,0.9999999,188.82175,0,4,521523120240219768,2024-02-15,0.0,1.8720924,97976.0,21.7142857142857,87.0944164285714,0,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,2032"
"2023-12-31,202401,268.0,267,274.0,267,1.0,273.53638,0,4,521523120240119768,2024-02-15,0.0,6.3339634,97976.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,2032"
"2024-02-04,202406,1289.0,158,,105,1.0,1877.5308,0,4,521975320240619768,2024-02-15,0.0,3.649373,68654.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,494"
"2024-01-28,202405,709.5,212,,188,1.0,1033.4431,0,4,521975320240519768,2024-02-15,0.0,4.9374075,68654.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,494"
"2024-01-21,202404,226.0,43,,35,1.0,329.18695,0,4,521975320240419768,2024-02-15,0.0,2.6708333,68654.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,494"
"2024-01-14,202403,74.0,23,,22,0.24422005,107.78687,0,4,521975320240319768,2024-02-15,0.0,0.8953897,68654.0,22.625,75.302707875,0,0,2,72.773421875,70.24414175,23.1875,23.75,,,,,,494"
"2024-01-07,202402,63.0,45,,45,0.0802256,91.7645,0,4,521975320240219768,2024-02-15,0.0,0.7904837,68654.0,21.7142857142857,87.0944164285714,0,0,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,494"
"2023-12-31,202401,104.0,99,,99,0.99721146,151.48425,0,4,521975320240119768,2024-02-15,0.0,1.5319691,68654.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,494"
"2024-02-04,202406,870.0,151,3692,16,1.0,441.69836,0,4,522185820240619768,2024-02-15,0.0,2.7616751,196967.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,978"
"2024-01-28,202405,393.0,163,1477,104,1.0,199.5258,0,4,522185820240519768,2024-02-15,0.0,1.6137738,196967.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,978"
