data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-01-07,202402,0.0,0,0,0,0.0,0.0,0,1,520010020240219747,2024-01-25,0.0,0.0,20461.0,20.5714285714286,94.9690514285714,0,0,0,94.5703121428571,94.1715742857143,20.6428571428571,20.7142857142857,,,,,,16
2023-12-31,202401,0.0,0,0,0,0.0,0.0,0,1,520010020240119747,2024-01-25,0.0,0.0,20461.0,20.2857142857143,99.1455371428571,0,0,0,99.1455371428571,99.1455371428571,20.5,20.7142857142857,,,,,,16
2023-12-24,202352,0.0,0,0,0,0.0,0.0,0,1,520010020235219747,2024-01-25,0.0,0.0,20461.0,21.0,90.9051885714286,0,0,0,89.06458,87.2239742857143,21.3571428571429,21.7142857142857,,,,,,16
2023-12-17,202351,0.0,0,0,0,0.0,0.0,0,1,520010020235119747,2024-01-25,0.0,0.0,20461.0,21.1428571428571,83.2550485714286,0,0,0,81.5932221428571,79.9313965714286,21.5,21.8571428571429,,,,,,16
2023-12-10,202350,0.0,0,0,0,0.0,0.0,0,1,520010020235019747,2024-01-25,0.0,0.0,20461.0,22.5,75.997827625,0,0,0,70.5974815,63.66580675,23.67361125,25.375,,,,,,16
2023-12-03,202349,0.0,0,0,0,0.0,0.0,0,1,520010020234919747,2024-01-25,0.0,0.0,20461.0,19.8571428571429,86.5275838571429,0,0,0,68.8916745714286,44.1705577142857,23.9107141428571,29.5714285714286,,,,,,16
2023-11-26,202348,0.0,0,0,0,0.0,0.0,0,1,520010020234819747,2024-01-25,0.0,0.0,20461.0,19.8571428571429,94.1218114285714,0,0,0,75.0630897142857,47.5692434285714,23.4583331428571,29.2857142857143,,,,,,16
2023-11-19,202347,0.0,0,0,0,0.0,0.0,0,1,520010020234719747,2024-01-25,0.0,0.0,20461.0,19.7142857142857,97.4366114285714,0,0,0,77.784842,52.6556334285714,23.5416665714286,28.5714285714286,,,,,,16
2023-11-12,202346,0.0,0,0,0,0.0,0.0,0,1,520010020234619747,2024-01-25,0.0,0.0,20461.0,21.4444444444444,81.7357279444444,0,0,0,65.6777679444444,48.9053747222222,24.7222226666667,28.8888888888889,,,,,,16
2023-11-05,202345,0.0,0,0,0,0.0,0.0,0,1,520010020234519747,2024-01-25,0.0,0.0,20461.0,23.0,70.0431791428571,0,0,0,68.5572598571429,67.0713432857143,23.3571428571429,23.7142857142857,,,,,,16
2023-10-29,202344,0.0,0,0,0,0.0,0.0,0,1,520010020234419747,2024-01-25,0.0,0.0,20461.0,21.8571428571429,85.2551178571429,0,0,0,82.2200678571429,79.1850192857143,22.1428571428571,22.4285714285714,,,,,,16
2023-10-22,202343,0.0,0,0,0,0.0,0.0,0,1,520010020234319747,2024-01-25,0.0,0.0,20461.0,21.7142857142857,84.9877297142857,0,0,0,83.1383804285714,81.289034,22.0714285714286,22.4285714285714,,,,,,16
2023-10-15,202342,1.0,1,1,1,0.730556,4.8873467,0,1,520010020234219747,2024-01-25,0.0,2.207831,20461.0,24.7142857142857,52.197699,0,0,0,50.8252122857143,49.4527265714286,25.2857142857143,25.8571428571429,,,,,,16
2023-10-08,202341,0.0,0,0,0,0.0,0.0,0,1,520010020234119747,2024-01-25,0.0,0.0,20461.0,22.0,82.8004494285714,0,0,0,79.8924471428571,76.9844468571429,22.4285714285714,22.8571428571429,,,,,,16
2023-10-01,202340,1.0,1,1,1,0.9632679,4.8873467,0,1,520010020234019747,2024-01-25,0.0,18.521618,20461.0,21.4285714285714,87.1108037142857,1,0,0,84.5085405714286,81.9062785714286,21.7857142857143,22.1428571428571,,,,,,16
2023-09-24,202339,0.0,0,0,0,0.0,0.0,0,1,520010020233919747,2024-01-25,0.0,0.0,20461.0,23.0,70.6927927142857,0,0,0,66.481581,61.0755924285714,23.7440477142857,25.0,,,,,,16
2023-09-17,202338,0.0,0,0,0,0.0,0.0,0,1,520010020233819747,2024-01-25,0.0,0.0,20461.0,22.5555555555556,57.034672,0,0,0,53.9167491111111,50.7988236666667,23.1111111111111,23.6666666666667,,,,,,16
2023-09-10,202337,0.0,0,0,0,0.0,0.0,0,1,520010020233719747,2024-01-25,0.0,0.0,20461.0,18.3529411764706,65.0089557647059,0,0,0,45.6957394117647,29.3376529411765,23.9264708235294,29.8823529411765,,,,,,16
2023-09-03,202336,0.0,0,0,0,0.0,0.0,0,1,520010020233619747,2024-01-25,0.0,0.0,20461.0,18.5714285714286,80.8923505714286,0,0,0,60.1055298571429,36.4709535714286,23.3154762857143,29.4285714285714,,,,,,16
2023-08-27,202335,0.0,0,0,0,0.0,0.0,0,1,520010020233519747,2024-01-25,0.0,0.0,20461.0,18.4,92.9583132,0,0,0,73.6386786,46.0093186,22.5958332,28.8,,,,,,16
2023-08-20,202334,0.0,0,0,0,0.0,0.0,0,1,520010020233419747,2024-01-25,0.0,0.0,20461.0,17.2857142857143,76.441138,0,0,0,54.0628257142857,30.5526565714286,22.7083334285714,30.0,,,,,,16
2023-08-13,202333,0.0,0,0,0,0.0,0.0,0,1,520010020233319747,2024-01-25,0.0,0.0,20461.0,17.4285714285714,59.4704185714286,0,0,0,47.7634964285714,35.9033088571429,21.3452385714286,25.5714285714286,,,,,,16
2023-08-06,202332,0.0,0,0,0,0.0,0.0,0,1,520010020233219747,2024-01-25,0.0,0.0,20461.0,21.0,43.9894092857143,0,0,0,41.2204381428571,38.4514672857143,21.6428571428571,22.2857142857143,,,,,,16
2023-07-30,202331,0.0,0,0,0,0.0,0.0,0,1,520010020233119747,2024-01-25,0.0,0.0,20461.0,19.5714285714286,49.0937547142857,0,0,0,47.6746747142857,46.2555938571429,20.0714285714286,20.5714285714286,,,,,,16
2023-07-23,202330,0.0,0,0,0,0.0,0.0,0,1,520010020233019747,2024-01-25,0.0,0.0,20461.0,18.7142857142857,56.6721522857143,0,0,0,55.1192077142857,53.5662634285714,19.0,19.2857142857143,,,,,,16
2023-07-16,202329,0.0,0,0,0,0.0,0.0,0,1,520010020232919747,2024-01-25,0.0,0.0,20461.0,19.7142857142857,63.3490122857143,0,0,0,61.1153402857143,58.8816698571429,20.2857142857143,20.8571428571429,,,,,,16
2023-07-09,202328,0.0,0,0,0,0.0,0.0,0,1,520010020232819747,2024-01-25,0.0,0.0,20461.0,15.8571428571429,69.8461934285714,0,0,0,67.4039821428571,64.9617658571429,16.4285714285714,17.0,,,,,,16
2023-07-02,202327,0.0,0,0,0,0.0,0.0,0,1,520010020232719747,2024-01-25,0.0,0.0,20461.0,16.0,59.1555914285714,0,0,0,56.5779254285714,54.0002597142857,16.5,17.0,,,,,,16
2023-06-25,202326,0.0,0,0,0,0.0,0.0,0,1,520010020232619747,2024-01-25,0.0,0.0,20461.0,17.8571428571429,60.281979,0,0,0,58.6708205714286,57.059661,18.2142857142857,18.5714285714286,,,,,,16
2023-06-18,202325,0.0,0,0,0,0.0,0.0,0,1,520010020232519747,2024-01-25,0.0,0.0,20461.0,18.1428571428571,63.0068677142857,0,0,0,62.7316802857143,62.4564924285714,18.2857142857143,18.4285714285714,,,,,,16
2023-06-11,202324,0.0,0,0,0,0.0,0.0,0,1,520010020232419747,2024-01-25,0.0,0.0,20461.0,18.1428571428571,85.0450757142857,0,0,0,83.5878787142857,82.13068,18.4285714285714,18.7142857142857,,,,,,16
2023-06-04,202323,0.0,0,0,0,0.0,0.0,0,1,520010020232319747,2024-01-25,0.0,0.0,20461.0,17.7142857142857,68.7587182857143,0,0,0,65.7482942857143,62.7378692857143,18.2857142857143,18.8571428571429,,,,,,16
2023-05-28,202322,0.0,0,0,0,0.0,0.0,0,1,520010020232219747,2024-01-25,0.0,0.0,20461.0,18.8571428571429,77.3143842857143,0,0,0,75.9602617142857,74.6061385714286,19.0714285714286,19.2857142857143,,,,,,16
2023-05-21,202321,0.0,0,0,0,0.0,0.0,0,1,520010020232119747,2024-01-25,0.0,0.0,20461.0,16.0,79.6302757142857,0,0,0,67.561306,53.2513472857143,18.8809522857143,22.5714285714286,,,,,,16
2023-05-14,202320,0.0,0,0,0,0.0,0.0,0,1,520010020232019747,2024-01-25,0.0,0.0,20461.0,17.4285714285714,73.7481515714286,0,0,0,62.038663,49.8435888571429,19.8571428571429,23.0,,,,,,16
2023-05-07,202319,0.0,0,0,0,0.0,0.0,0,1,520010020231919747,2024-01-25,0.0,0.0,20461.0,19.2857142857143,75.1052321428571,0,0,0,69.2604918571429,62.4595214285714,20.2440477142857,21.4285714285714,,,,,,16
2023-04-30,202318,0.0,0,0,0,0.0,0.0,0,1,520010020231819747,2024-01-25,0.0,0.0,20461.0,20.0,73.3186847777778,0,0,0,71.7529533333333,70.1872207777778,20.2222222222222,20.4444444444444,,,,,,16
2023-04-23,202317,0.0,0,0,0,0.0,0.0,0,1,520010020231719747,2024-01-25,0.0,0.0,20461.0,17.6,98.3722268,0,0,0,79.8795535333333,55.2807512,21.3166661333333,26.6666666666667,,,,,,16
2023-04-16,202316,0.0,0,0,0,0.0,0.0,0,1,520010020231619747,2024-01-25,0.0,0.0,20461.0,17.7142857142857,97.3785857142857,0,0,0,84.5640731428571,61.6912341428571,21.0892857142857,26.0,,,,,,16
2023-04-09,202315,0.0,0,0,0,0.0,0.0,0,1,520010020231519747,2024-01-25,0.0,0.0,20461.0,18.2,100.0,0,0,0,87.758516,57.8656194,21.3666664,27.3,,,,,,16
2023-04-02,202314,0.0,0,0,0,0.0,0.0,0,1,520010020231419747,2024-01-25,0.0,0.0,20461.0,17.5714285714286,99.1328242857143,0,0,0,84.230283,57.9400005714286,20.8214285714286,26.0,,,,,,16
